English VP,Japanese VP
not graduating,そつぎょうしていない (sotsugyoushiteinai)
was not graduating,そつぎょうしていなかった (sotsugyoushiteinakatta)
will not be graduating,そつぎょうしていない (sotsugyoushiteinai)
have graduated,そつぎょうした (sotsugyoushita)
had graduated,そつぎょうした (sotsugyoushita)
will have graduated,そつぎょうする (sotsugyousuru)
have not graduated,そつぎょうしなかった (sotsugyoushinakatta)
had not graduated,そつぎょうしなかった (sotsugyoushinakatta)
will have not graduated,そつぎょうしない (sotsugyoushinai)
have being graduating,そつぎょうしている (sotsugyoushiteiru)
had been graduating,そつぎょうしていた (sotsugyoushiteita)
will have been graduating,そつぎょうしている (sotsugyoushiteiru)
have not being graduating,そつぎょうしていない (sotsugyoushiteinai)
had not been graduating,そつぎょうしていなかった (sotsugyoushiteinakatta)
will have not been graduating,そつぎょうしていない (sotsugyoushiteinai)
order,ちゅうもんする (chuumonnsuru)
ordered,ちゅうもんした (chuumonnshita)
will order,ちゅうもんする (chuumonnsuru)
doesn't order,ちゅうもんしない (chuumonnshinai)
didn't order,ちゅうもんしなかった (chuumonnshinakatta)
won't order,ちゅうもんしない (chuumonnshinai)
ordering,ちゅうもんしている (chuumonnshiteiru)
was ordering,ちゅうもんしていた (chuumonnshiteita)
will be ordering,ちゅうもんしている (chuumonnshiteiru)
not ordering,ちゅうもんしていない (chuumonnshiteinai)
was not ordering,ちゅうもんしていなかった (chuumonnshiteinakatta)
will not be ordering,ちゅうもんしていない (chuumonnshiteinai)
have ordered,ちゅうもんした (chuumonnshita)
had ordered,ちゅうもんした (chuumonnshita)
will have ordered,ちゅうもんする (chuumonnsuru)
have not ordered,ちゅうもんしなかった (chuumonnshinakatta)
had not ordered,ちゅうもんしなかった (chuumonnshinakatta)
will have not ordered,ちゅうもんしない (chuumonnshinai)
have being ordering,ちゅうもんしている (chuumonnshiteiru)
had been ordering,ちゅうもんしていた (chuumonnshiteita)
will have been ordering,ちゅうもんしている (chuumonnshiteiru)
have not being ordering,ちゅうもんしていない (chuumonnshiteinai)
had not been ordering,ちゅうもんしていなかった (chuumonnshiteinakatta)
will have not been ordering,ちゅうもんしていない (chuumonnshiteinai)
drive,うんてんする (unntensuru)
drove,うんてんした (unntenshita)
will drive,うんてんする (unntensuru)
doesn't drive,うんてんしない (unntenshinai)
didn't drive,うんてんしなかった (unntenshinakatta)
won't drive,うんてんしない (unntenshinai)
driving,うんてんしている (unntenshiteiru)
was driving,うんてんしていた (unntenshiteita)
will be driving,うんてんしている (unntenshiteiru)
not driving,うんてんしていない (unntenshiteinai)
was not driving,うんてんしていなかった (unntenshiteinakatta)
will not be driving,うんてんしていない (unntenshiteinai)
have drove,うんてんした (unntenshita)
had drove,うんてんした (unntenshita)
will have drove,うんてんする (unntensuru)
have not drove,うんてんしなかった (unntenshinakatta)
had not drove,うんてんしなかった (unntenshinakatta)
will have not drove,うんてんしない (unntenshinai)
have being driving,うんてんしている (unntenshiteiru)
had been driving,うんてんしていた (unntenshiteita)
will have been driving,うんてんしている (unntenshiteiru)
have not being driving,うんてんしていない (unntenshiteinai)
had not been driving,うんてんしていなかった (unntenshiteinakatta)
will have not been driving,うんてんしていない (unntenshiteinai)
calculate,けいさんする (keisannsuru)
calculated,けいさんした (keisannshita)
will calculate,けいさんする (keisannsuru)
doesn't calculate,けいさんしない (keisannshinai)
didn't calculate,けいさんしなかった (keisannshinakatta)
won't calculate,けいさんしない (keisannshinai)
calculating,けいさんしている (keisannshiteiru)
was calculating,けいさんしていた (keisannshiteita)
will be calculating,けいさんしている (keisannshiteiru)
not calculating,けいさんしていない (keisannshiteinai)
was not calculating,けいさんしていなかった (keisannshiteinakatta)
will not be calculating,けいさんしていない (keisannshiteinai)
have calculated,けいさんした (keisannshita)
had calculated,けいさんした (keisannshita)
will have calculated,けいさんする (keisannsuru)
have not calculated,けいさんしなかった (keisannshinakatta)
had not calculated,けいさんしなかった (keisannshinakatta)
will have not calculated,けいさんしない (keisannshinai)
have being calculating,けいさんしている (keisannshiteiru)
had been calculating,けいさんしていた (keisannshiteita)
will have been calculating,けいさんしている (keisannshiteiru)
have not being calculating,けいさんしていない (keisannshiteinai)
had not been calculating,けいさんしていなかった (keisannshiteinakatta)
will have not been calculating,けいさんしていない (keisannshiteinai)
complete,かんせいする (kannseisuru)
completed,かんせいした (kannseishita)
will complete,かんせいする (kannseisuru)
doesn't complete,かんせいしない (kannseishinai)
didn't complete,かんせいしなかった (kannseishinakatta)
won't complete,かんせいしない (kannseishinai)
completing,かんせいしている (kannseishiteiru)
was completing,かんせいしていた (kannseishiteita)
will be completing,かんせいしている (kannseishiteiru)
not completing,かんせいしていない (kannseishiteinai)
was not completing,かんせいしていなかった (kannseishiteinakatta)
will not be completing,かんせいしていない (kannseishiteinai)
have completed,かんせいした (kannseishita)
had completed,かんせいした (kannseishita)
will have completed,かんせいする (kannseisuru)
have not completed,かんせいしなかった (kannseishinakatta)
had not completed,かんせいしなかった (kannseishinakatta)
will have not completed,かんせいしない (kannseishinai)
have being completing,かんせいしている (kannseishiteiru)
had been completing,かんせいしていた (kannseishiteita)
will have been completing,かんせいしている (kannseishiteiru)
have not being completing,かんせいしていない (kannseishiteinai)
had not been completing,かんせいしていなかった (kannseishiteinakatta)
will have not been completing,かんせいしていない (kannseishiteinai)
develop,かいはつする (kaihatsusuru)
developed,かいはつした (kaihatsushita)
will develop,かいはつする (kaihatsusuru)
doesn't develop,かいはつしない (kaihatsushinai)
didn't develop,かいはつしなかった (kaihatsushinakatta)
won't develop,かいはつしない (kaihatsushinai)
developing,かいはつしている (kaihatsushiteiru)
was developing,かいはつしていた (kaihatsushiteita)
will be developing,かいはつしている (kaihatsushiteiru)
not developing,かいはつしていない (kaihatsushiteinai)
was not developing,かいはつしていなかった (kaihatsushiteinakatta)
will not be developing,かいはつしていない (kaihatsushiteinai)
have developed,かいはつした (kaihatsushita)
had developed,かいはつした (kaihatsushita)
will have developed,かいはつする (kaihatsusuru)
have not developed,かいはつしなかった (kaihatsushinakatta)
had not developed,かいはつしなかった (kaihatsushinakatta)
will have not developed,かいはつしない (kaihatsushinai)
have being developing,かいはつしている (kaihatsushiteiru)
had been developing,かいはつしていた (kaihatsushiteita)
will have been developing,かいはつしている (kaihatsushiteiru)
have not being developing,かいはつしていない (kaihatsushiteinai)
had not been developing,かいはつしていなかった (kaihatsushiteinakatta)
will have not been developing,かいはつしていない (kaihatsushiteinai)
report,ほうこくする (houkokusuru)
reported,ほうこくした (houkokushita)
will report,ほうこくする (houkokusuru)
doesn't report,ほうこくしない (houkokushinai)
didn't report,ほうこくしなかった (houkokushinakatta)
won't report,ほうこくしない (houkokushinai)
reporting,ほうこくしている (houkokushiteiru)
was reporting,ほうこくしていた (houkokushiteita)
will be reporting,ほうこくしている (houkokushiteiru)
not reporting,ほうこくしていない (houkokushiteinai)
was not reporting,ほうこくしていなかった (houkokushiteinakatta)
will not be reporting,ほうこくしていない (houkokushiteinai)
have reported,ほうこくした (houkokushita)
had reported,ほうこくした (houkokushita)
will have reported,ほうこくする (houkokusuru)
have not reported,ほうこくしなかった (houkokushinakatta)
had not reported,ほうこくしなかった (houkokushinakatta)
will have not reported,ほうこくしない (houkokushinai)
have being reporting,ほうこくしている (houkokushiteiru)
had been reporting,ほうこくしていた (houkokushiteita)
will have been reporting,ほうこくしている (houkokushiteiru)
have not being reporting,ほうこくしていない (houkokushiteinai)
had not been reporting,ほうこくしていなかった (houkokushiteinakatta)
will have not been reporting,ほうこくしていない (houkokushiteinai)
focus,しゅうcひゅうする (shuuchyuusuru)
focused,しゅうcひゅうした (shuuchyuushita)
will focus,しゅうcひゅうする (shuuchyuusuru)
doesn't focus,しゅうcひゅうしない (shuuchyuushinai)
didn't focus,しゅうcひゅうしなかった (shuuchyuushinakatta)
won't focus,しゅうcひゅうしない (shuuchyuushinai)
focusing,しゅうcひゅうしている (shuuchyuushiteiru)
was focusing,しゅうcひゅうしていた (shuuchyuushiteita)
will be focusing,しゅうcひゅうしている (shuuchyuushiteiru)
not focusing,しゅうcひゅうしていない (shuuchyuushiteinai)
was not focusing,しゅうcひゅうしていなかった (shuuchyuushiteinakatta)
will not be focusing,しゅうcひゅうしていない (shuuchyuushiteinai)
have focused,しゅうcひゅうした (shuuchyuushita)
had focused,しゅうcひゅうした (shuuchyuushita)
will have focused,しゅうcひゅうする (shuuchyuusuru)
have not focused,しゅうcひゅうしなかった (shuuchyuushinakatta)
had not focused,しゅうcひゅうしなかった (shuuchyuushinakatta)
will have not focused,しゅうcひゅうしない (shuuchyuushinai)
have being focusing,しゅうcひゅうしている (shuuchyuushiteiru)
had been focusing,しゅうcひゅうしていた (shuuchyuushiteita)
will have been focusing,しゅうcひゅうしている (shuuchyuushiteiru)
have not being focusing,しゅうcひゅうしていない (shuuchyuushiteinai)
had not been focusing,しゅうcひゅうしていなかった (shuuchyuushiteinakatta)
will have not been focusing,しゅうcひゅうしていない (shuuchyuushiteinai)
confess,こくはくする (kokuhakusuru)
confessed,こくはくした (kokuhakushita)
will confess,こくはくする (kokuhakusuru)
doesn't confess,こくはくしない (kokuhakushinai)
didn't confess,こくはくしなかった (kokuhakushinakatta)
won't confess,こくはくしない (kokuhakushinai)
confessing,こくはくしている (kokuhakushiteiru)
was confessing,こくはくしていた (kokuhakushiteita)
will be confessing,こくはくしている (kokuhakushiteiru)
not confessing,こくはくしていない (kokuhakushiteinai)
was not confessing,こくはくしていなかった (kokuhakushiteinakatta)
will not be confessing,こくはくしていない (kokuhakushiteinai)
have confessed,こくはくした (kokuhakushita)
had confessed,こくはくした (kokuhakushita)
will have confessed,こくはくする (kokuhakusuru)
have not confessed,こくはくしなかった (kokuhakushinakatta)
had not confessed,こくはくしなかった (kokuhakushinakatta)
will have not confessed,こくはくしない (kokuhakushinai)
have being confessing,こくはくしている (kokuhakushiteiru)
had been confessing,こくはくしていた (kokuhakushiteita)
will have been confessing,こくはくしている (kokuhakushiteiru)
have not being confessing,こくはくしていない (kokuhakushiteinai)
had not been confessing,こくはくしていなかった (kokuhakushiteinakatta)
will have not been confessing,こくはくしていない (kokuhakushiteinai)
agree,さんせいする (sannseisuru)
agreed,さんせいした (sannseishita)
will agree,さんせいする (sannseisuru)
doesn't agree,さんせいしない (sannseishinai)
didn't agree,さんせいしなかった (sannseishinakatta)
won't agree,さんせいしない (sannseishinai)
agreeing,さんせいしている (sannseishiteiru)
was agreeing,さんせいしていた (sannseishiteita)
will be agreeing,さんせいしている (sannseishiteiru)
not agreeing,さんせいしていない (sannseishiteinai)
was not agreeing,さんせいしていなかった (sannseishiteinakatta)
will not be agreeing,さんせいしていない (sannseishiteinai)
have agreed,さんせいした (sannseishita)
had agreed,さんせいした (sannseishita)
will have agreed,さんせいする (sannseisuru)
have not agreed,さんせいしなかった (sannseishinakatta)
had not agreed,さんせいしなかった (sannseishinakatta)
will have not agreed,さんせいしない (sannseishinai)
have being agreeing,さんせいしている (sannseishiteiru)
had been agreeing,さんせいしていた (sannseishiteita)
will have been agreeing,さんせいしている (sannseishiteiru)
have not being agreeing,さんせいしていない (sannseishiteinai)
had not been agreeing,さんせいしていなかった (sannseishiteinakatta)
will have not been agreeing,さんせいしていない (sannseishiteinai)
prepare,ゆんびする (yunnbisuru)
prepared,ゆんびした (yunnbishita)
will prepare,ゆんびする (yunnbisuru)
doesn't prepare,ゆんびしない (yunnbishinai)
didn't prepare,ゆんびしなかった (yunnbishinakatta)
won't prepare,ゆんびしない (yunnbishinai)
preparing,ゆんびしている (yunnbishiteiru)
was preparing,ゆんびしていた (yunnbishiteita)
will be preparing,ゆんびしている (yunnbishiteiru)
not preparing,ゆんびしていない (yunnbishiteinai)
was not preparing,ゆんびしていなかった (yunnbishiteinakatta)
will not be preparing,ゆんびしていない (yunnbishiteinai)
have prepared,ゆんびした (yunnbishita)
had prepared,ゆんびした (yunnbishita)
will have prepared,ゆんびする (yunnbisuru)
have not prepared,ゆんびしなかった (yunnbishinakatta)
had not prepared,ゆんびしなかった (yunnbishinakatta)
will have not prepared,ゆんびしない (yunnbishinai)
have being preparing,ゆんびしている (yunnbishiteiru)
had been preparing,ゆんびしていた (yunnbishiteita)
will have been preparing,ゆんびしている (yunnbishiteiru)
have not being preparing,ゆんびしていない (yunnbishiteinai)
had not been preparing,ゆんびしていなかった (yunnbishiteinakatta)
will have not been preparing,ゆんびしていない (yunnbishiteinai)
explain,せつめいする (setsumeisuru)
explained,せつめいした (setsumeishita)
will explain,せつめいする (setsumeisuru)
doesn't explain,せつめいしない (setsumeishinai)
didn't explain,せつめいしなかった (setsumeishinakatta)
won't explain,せつめいしない (setsumeishinai)
explaining,せつめいしている (setsumeishiteiru)
was explaining,せつめいしていた (setsumeishiteita)
will be explaining,せつめいしている (setsumeishiteiru)
not explaining,せつめいしていない (setsumeishiteinai)
was not explaining,せつめいしていなかった (setsumeishiteinakatta)
will not be explaining,せつめいしていない (setsumeishiteinai)
have explained,せつめいした (setsumeishita)
had explained,せつめいした (setsumeishita)
will have explained,せつめいする (setsumeisuru)
have not explained,せつめいしなかった (setsumeishinakatta)
had not explained,せつめいしなかった (setsumeishinakatta)
will have not explained,せつめいしない (setsumeishinai)
have being explaining,せつめいしている (setsumeishiteiru)
had been explaining,せつめいしていた (setsumeishiteita)
will have been explaining,せつめいしている (setsumeishiteiru)
have not being explaining,せつめいしていない (setsumeishiteinai)
had not been explaining,せつめいしていなかった (setsumeishiteinakatta)
will have not been explaining,せつめいしていない (setsumeishiteinai)
shop,かいものする (kaimonosuru)
shoped,かいものした (kaimonoshita)
will shop,かいものする (kaimonosuru)
doesn't shop,かいものしない (kaimonoshinai)
didn't shop,かいものしなかった (kaimonoshinakatta)
won't shop,かいものしない (kaimonoshinai)
shoping,かいものしている (kaimonoshiteiru)
was shoping,かいものしていた (kaimonoshiteita)
will be shoping,かいものしている (kaimonoshiteiru)
not shoping,かいものしていない (kaimonoshiteinai)
was not shoping,かいものしていなかった (kaimonoshiteinakatta)
will not be shoping,かいものしていない (kaimonoshiteinai)
have shoped,かいものした (kaimonoshita)
had shoped,かいものした (kaimonoshita)
will have shoped,かいものする (kaimonosuru)
have not shoped,かいものしなかった (kaimonoshinakatta)
had not shoped,かいものしなかった (kaimonoshinakatta)
will have not shoped,かいものしない (kaimonoshinai)
have being shoping,かいものしている (kaimonoshiteiru)
had been shoping,かいものしていた (kaimonoshiteita)
will have been shoping,かいものしている (kaimonoshiteiru)
have not being shoping,かいものしていない (kaimonoshiteinai)
had not been shoping,かいものしていなかった (kaimonoshiteinakatta)
will have not been shoping,かいものしていない (kaimonoshiteinai)
travel,りょこうする (ryokousuru)
traveled,りょこうした (ryokoushita)
will travel,りょこうする (ryokousuru)
doesn't travel,りょこうしない (ryokoushinai)
didn't travel,りょこうしなかった (ryokoushinakatta)
won't travel,りょこうしない (ryokoushinai)
traveling,りょこうしている (ryokoushiteiru)
was traveling,りょこうしていた (ryokoushiteita)
will be traveling,りょこうしている (ryokoushiteiru)
not traveling,りょこうしていない (ryokoushiteinai)
was not traveling,りょこうしていなかった (ryokoushiteinakatta)
will not be traveling,りょこうしていない (ryokoushiteinai)
have traveled,りょこうした (ryokoushita)
had traveled,りょこうした (ryokoushita)
will have traveled,りょこうする (ryokousuru)
have not traveled,りょこうしなかった (ryokoushinakatta)
had not traveled,りょこうしなかった (ryokoushinakatta)
will have not traveled,りょこうしない (ryokoushinai)
have being traveling,りょこうしている (ryokoushiteiru)
had been traveling,りょこうしていた (ryokoushiteita)
will have been traveling,りょこうしている (ryokoushiteiru)
have not being traveling,りょこうしていない (ryokoushiteinai)
had not been traveling,りょこうしていなかった (ryokoushiteinakatta)
will have not been traveling,りょこうしていない (ryokoushiteinai)
promise,やくそくする (yakusokusuru)
promised,やくそくした (yakusokushita)
will promise,やくそくする (yakusokusuru)
doesn't promise,やくそくしない (yakusokushinai)
didn't promise,やくそくしなかった (yakusokushinakatta)
won't promise,やくそくしない (yakusokushinai)
promising,やくそくしている (yakusokushiteiru)
was promising,やくそくしていた (yakusokushiteita)
will be promising,やくそくしている (yakusokushiteiru)
not promising,やくそくしていない (yakusokushiteinai)
was not promising,やくそくしていなかった (yakusokushiteinakatta)
will not be promising,やくそくしていない (yakusokushiteinai)
have promised,やくそくした (yakusokushita)
had promised,やくそくした (yakusokushita)
will have promised,やくそくする (yakusokusuru)
have not promised,やくそくしなかった (yakusokushinakatta)
had not promised,やくそくしなかった (yakusokushinakatta)
will have not promised,やくそくしない (yakusokushinai)
have being promising,やくそくしている (yakusokushiteiru)
had been promising,やくそくしていた (yakusokushiteita)
will have been promising,やくそくしている (yakusokushiteiru)
have not being promising,やくそくしていない (yakusokushiteinai)
had not been promising,やくそくしていなかった (yakusokushiteinakatta)
will have not been promising,やくそくしていない (yakusokushiteinai)
attend,しゅっせきする (shussekisuru)
attended,しゅっせきした (shussekishita)
will attend,しゅっせきする (shussekisuru)
doesn't attend,しゅっせきしない (shussekishinai)
didn't attend,しゅっせきしなかった (shussekishinakatta)
won't attend,しゅっせきしない (shussekishinai)
attending,しゅっせきしている (shussekishiteiru)
was attending,しゅっせきしていた (shussekishiteita)
will be attending,しゅっせきしている (shussekishiteiru)
not attending,しゅっせきしていない (shussekishiteinai)
was not attending,しゅっせきしていなかった (shussekishiteinakatta)
will not be attending,しゅっせきしていない (shussekishiteinai)
have attended,しゅっせきした (shussekishita)
had attended,しゅっせきした (shussekishita)
will have attended,しゅっせきする (shussekisuru)
have not attended,しゅっせきしなかった (shussekishinakatta)
had not attended,しゅっせきしなかった (shussekishinakatta)
will have not attended,しゅっせきしない (shussekishinai)
have being attending,しゅっせきしている (shussekishiteiru)
had been attending,しゅっせきしていた (shussekishiteita)
will have been attending,しゅっせきしている (shussekishiteiru)
have not being attending,しゅっせきしていない (shussekishiteinai)
had not been attending,しゅっせきしていなかった (shussekishiteinakatta)
will have not been attending,しゅっせきしていない (shussekishiteinai)
manage,かんりする (kanrisuru)
managed,かんりした (kanrishita)
will manage,かんりする (kanrisuru)
doesn't manage,かんりしない (kanrishinai)
didn't manage,かんりしなかった (kanrishinakatta)
won't manage,かんりしない (kanrishinai)
managing,かんりしている (kanrishiteiru)
was managing,かんりしていた (kanrishiteita)
will be managing,かんりしている (kanrishiteiru)
not managing,かんりしていない (kanrishiteinai)
was not managing,かんりしていなかった (kanrishiteinakatta)
will not be managing,かんりしていない (kanrishiteinai)
have managed,かんりした (kanrishita)
had managed,かんりした (kanrishita)
will have managed,かんりする (kanrisuru)
have not managed,かんりしなかった (kanrishinakatta)
had not managed,かんりしなかった (kanrishinakatta)
will have not managed,かんりしない (kanrishinai)
have being managing,かんりしている (kanrishiteiru)
had been managing,かんりしていた (kanrishiteita)
will have been managing,かんりしている (kanrishiteiru)
have not being managing,かんりしていない (kanrishiteinai)
had not been managing,かんりしていなかった (kanrishiteinakatta)
will have not been managing,かんりしていない (kanrishiteinai)
print,いんさつする (innsatsusuru)
printed,いんさつした (innsatsushita)
will print,いんさつする (innsatsusuru)
doesn't print,いんさつしない (innsatsushinai)
didn't print,いんさつしなかった (innsatsushinakatta)
won't print,いんさつしない (innsatsushinai)
printing,いんさつしている (innsatsushiteiru)
was printing,いんさつしていた (innsatsushiteita)
will be printing,いんさつしている (innsatsushiteiru)
not printing,いんさつしていない (innsatsushiteinai)
was not printing,いんさつしていなかった (innsatsushiteinakatta)
will not be printing,いんさつしていない (innsatsushiteinai)
have printed,いんさつした (innsatsushita)
had printed,いんさつした (innsatsushita)
will have printed,いんさつする (innsatsusuru)
have not printed,いんさつしなかった (innsatsushinakatta)
had not printed,いんさつしなかった (innsatsushinakatta)
will have not printed,いんさつしない (innsatsushinai)
have being printing,いんさつしている (innsatsushiteiru)
had been printing,いんさつしていた (innsatsushiteita)
will have been printing,いんさつしている (innsatsushiteiru)
have not being printing,いんさつしていない (innsatsushiteinai)
had not been printing,いんさつしていなかった (innsatsushiteinakatta)
will have not been printing,いんさつしていない (innsatsushiteinai)
introduce,しょうかいする (shoukaisuru)
introduced,しょうかいした (shoukaishita)
will introduce,しょうかいする (shoukaisuru)
doesn't introduce,しょうかいしない (shoukaishinai)
didn't introduce,しょうかいしなかった (shoukaishinakatta)
won't introduce,しょうかいしない (shoukaishinai)
introducing,しょうかいしている (shoukaishiteiru)
was introducing,しょうかいしていた (shoukaishiteita)
will be introducing,しょうかいしている (shoukaishiteiru)
not introducing,しょうかいしていない (shoukaishiteinai)
was not introducing,しょうかいしていなかった (shoukaishiteinakatta)
will not be introducing,しょうかいしていない (shoukaishiteinai)
have introduced,しょうかいした (shoukaishita)
had introduced,しょうかいした (shoukaishita)
will have introduced,しょうかいする (shoukaisuru)
have not introduced,しょうかいしなかった (shoukaishinakatta)
had not introduced,しょうかいしなかった (shoukaishinakatta)
will have not introduced,しょうかいしない (shoukaishinai)
have being introducing,しょうかいしている (shoukaishiteiru)
had been introducing,しょうかいしていた (shoukaishiteita)
will have been introducing,しょうかいしている (shoukaishiteiru)
have not being introducing,しょうかいしていない (shoukaishiteinai)
had not been introducing,しょうかいしていなかった (shoukaishiteinakatta)
will have not been introducing,しょうかいしていない (shoukaishiteinai)
verify,かくにんする (kakuninnsuru)
verified,かくにんした (kakuninnshita)
will verify,かくにんする (kakuninnsuru)
doesn't verify,かくにんしない (kakuninnshinai)
didn't verify,かくにんしなかった (kakuninnshinakatta)
won't verify,かくにんしない (kakuninnshinai)
verifying,かくにんしている (kakuninnshiteiru)
was verifying,かくにんしていた (kakuninnshiteita)
will be verifying,かくにんしている (kakuninnshiteiru)
not verifying,かくにんしていない (kakuninnshiteinai)
was not verifying,かくにんしていなかった (kakuninnshiteinakatta)
will not be verifying,かくにんしていない (kakuninnshiteinai)
have verified,かくにんした (kakuninnshita)
had verified,かくにんした (kakuninnshita)
will have verified,かくにんする (kakuninnsuru)
have not verified,かくにんしなかった (kakuninnshinakatta)
had not verified,かくにんしなかった (kakuninnshinakatta)
will have not verified,かくにんしない (kakuninnshinai)
have being verifying,かくにんしている (kakuninnshiteiru)
had been verifying,かくにんしていた (kakuninnshiteita)
will have been verifying,かくにんしている (kakuninnshiteiru)
have not being verifying,かくにんしていない (kakuninnshiteinai)
had not been verifying,かくにんしていなかった (kakuninnshiteinakatta)
will have not been verifying,かくにんしていない (kakuninnshiteinai)
clean,そうじする (soujisuru)
cleaned,そうじした (soujishita)
will clean,そうじする (soujisuru)
doesn't clean,そうじしない (soujishinai)
didn't clean,そうじしなかった (soujishinakatta)
won't clean,そうじしない (soujishinai)
cleaning,そうじしている (soujishiteiru)
was cleaning,そうじしていた (soujishiteita)
will be cleaning,そうじしている (soujishiteiru)
not cleaning,そうじしていない (soujishiteinai)
was not cleaning,そうじしていなかった (soujishiteinakatta)
will not be cleaning,そうじしていない (soujishiteinai)
have cleaned,そうじした (soujishita)
had cleaned,そうじした (soujishita)
will have cleaned,そうじする (soujisuru)
have not cleaned,そうじしなかった (soujishinakatta)
had not cleaned,そうじしなかった (soujishinakatta)
will have not cleaned,そうじしない (soujishinai)
have being cleaning,そうじしている (soujishiteiru)
had been cleaning,そうじしていた (soujishiteita)
will have been cleaning,そうじしている (soujishiteiru)
have not being cleaning,そうじしていない (soujishiteinai)
had not been cleaning,そうじしていなかった (soujishiteinakatta)
will have not been cleaning,そうじしていない (soujishiteinai)
